iter	Passed	Remaining
0	112	55969
1	114	28605
2	119	19739
3	123	15299
4	124	12298
5	127	10465
6	129	9114
7	131	8109
8	136	7434
9	140	6863
10	143	6384
11	147	5994
12	151	5668
13	154	5355
14	157	5097
15	161	4873
16	164	4682
17	167	4495
18	170	4323
19	172	4139
20	175	3997
21	177	3854
22	179	3731
23	181	3594
24	183	3483
25	185	3378
26	187	3278
27	188	3182
28	190	3092
29	192	3010
30	193	2927
31	195	2853
32	196	2782
33	198	2717
34	199	2652
35	201	2592
36	202	2534
37	203	2479
38	204	2422
39	206	2371
40	207	2322
41	208	2277
42	210	2235
43	211	2191
44	212	2149
45	213	2108
46	214	2070
47	215	2032
48	216	1995
49	217	1959
50	218	1925
51	219	1892
52	220	1860
53	221	1828
54	222	1798
55	223	1769
56	224	1741
57	224	1712
58	225	1686
59	226	1659
60	227	1634
61	227	1608
62	228	1585
63	229	1562
64	230	1539
65	230	1518
66	231	1497
67	232	1476
68	233	1456
69	233	1435
70	234	1416
71	234	1396
72	235	1377
73	236	1359
74	236	1342
75	237	1325
76	238	1309
77	239	1295
78	240	1280
79	241	1266
80	242	1251
81	242	1237
82	243	1224
83	244	1210
84	245	1197
85	245	1183
86	246	1170
87	247	1158
88	248	1145
89	248	1133
90	249	1121
91	250	1110
92	250	1097
93	251	1086
94	252	1076
95	253	1065
96	253	1055
97	254	1045
98	255	1035
99	256	1025
100	257	1015
101	257	1005
102	258	996
103	259	987
104	259	978
105	260	968
106	261	960
107	262	951
108	262	942
109	263	933
110	264	925
111	264	917
112	265	909
113	266	902
114	267	894
115	267	886
116	268	879
117	269	872
118	270	865
119	271	858
120	271	851
121	272	844
122	273	837
123	274	831
124	274	824
125	275	818
126	276	811
127	277	805
128	277	799
129	278	793
130	279	787
131	280	781
132	280	775
133	281	769
134	282	763
135	283	757
136	283	752
137	284	747
138	285	741
139	286	736
140	287	731
141	288	727
142	289	722
143	290	718
144	291	713
145	292	708
146	293	704
147	293	699
148	294	694
149	295	689
150	296	684
151	297	679
152	297	675
153	298	670
154	299	666
155	300	661
156	300	657
157	301	653
158	302	649
159	303	645
160	305	642
161	306	638
162	307	634
163	307	630
164	308	626
165	309	622
166	310	619
167	311	615
168	311	611
169	312	607
170	313	603
171	314	599
172	314	595
173	315	591
174	316	587
175	317	584
176	318	581
177	319	577
178	319	573
179	320	570
180	321	566
181	322	562
182	322	559
183	323	555
184	324	552
185	325	548
186	325	545
187	326	542
188	327	538
189	328	535
190	328	531
191	329	528
192	330	525
193	331	522
194	331	519
195	332	516
196	333	513
197	334	510
198	335	507
199	336	504
200	337	502
201	338	499
202	338	495
203	339	492
204	340	489
205	341	486
206	341	484
207	342	481
208	343	478
209	344	475
210	344	472
211	345	469
212	346	466
213	347	463
214	348	461
215	348	458
216	349	456
217	350	453
218	351	450
219	352	448
220	352	445
221	353	442
222	354	440
223	355	437
224	355	434
225	356	432
226	357	429
227	358	427
228	358	424
229	359	422
230	360	419
231	361	417
232	361	414
233	362	412
234	363	409
235	364	407
236	365	405
237	365	402
238	366	400
239	367	398
240	368	395
241	368	393
242	369	390
243	370	388
244	371	386
245	371	383
246	372	381
247	373	379
248	374	377
249	374	374
250	375	372
251	376	370
252	377	368
253	378	366
254	378	364
255	379	362
256	380	360
257	381	358
258	382	356
259	383	354
260	384	352
261	385	350
262	386	348
263	387	346
264	388	344
265	388	342
266	389	339
267	390	337
268	390	335
269	391	333
270	392	331
271	393	329
272	393	327
273	394	325
274	395	323
275	396	321
276	397	319
277	397	317
278	398	315
279	399	313
280	400	311
281	400	309
282	401	307
283	402	306
284	403	304
285	403	302
286	404	300
287	405	298
288	406	296
289	406	294
290	407	292
291	408	290
292	409	289
293	410	287
294	411	285
295	412	284
296	413	282
297	413	280
298	414	278
299	415	277
300	416	275
301	417	273
302	418	271
303	418	269
304	419	268
305	420	266
306	421	264
307	421	262
308	422	261
309	423	259
310	424	257
311	425	256
312	426	254
313	427	252
314	427	251
315	428	249
316	429	248
317	430	246
318	431	244
319	432	243
320	432	241
321	433	239
322	434	238
323	435	236
324	435	234
325	436	232
326	437	231
327	437	229
328	438	228
329	439	226
330	440	224
331	440	223
332	441	221
333	442	220
334	443	218
335	444	216
336	445	215
337	445	213
338	446	212
339	447	210
340	447	208
341	448	207
342	449	205
343	450	204
344	450	202
345	451	201
346	452	199
347	453	197
348	453	196
349	454	194
350	455	193
351	456	191
352	457	190
353	458	188
354	458	187
355	459	185
356	460	184
357	461	183
358	462	181
359	463	180
360	464	179
361	465	177
362	466	176
363	467	174
364	468	173
365	468	171
366	469	170
367	470	168
368	471	167
369	472	165
370	472	164
371	473	163
372	474	161
373	475	160
374	476	158
375	477	157
376	478	156
377	479	154
378	480	153
379	480	151
380	481	150
381	482	149
382	483	147
383	483	146
384	484	144
385	485	143
386	486	141
387	486	140
388	487	139
389	488	137
390	489	136
391	490	135
392	491	133
393	492	132
394	493	131
395	494	129
396	494	128
397	495	127
398	496	125
399	497	124
400	497	122
401	498	121
402	499	120
403	500	118
404	500	117
405	501	116
406	502	114
407	503	113
408	504	112
409	505	110
410	506	109
411	507	108
412	508	107
413	509	105
414	509	104
415	510	103
416	511	101
417	512	100
418	512	99
419	513	97
420	514	96
421	515	95
422	515	93
423	517	92
424	518	91
425	519	90
426	520	88
427	521	87
428	522	86
429	523	85
430	524	83
431	525	82
432	526	81
433	527	80
434	527	78
435	528	77
436	529	76
437	530	75
438	530	73
439	531	72
440	532	71
441	533	69
442	533	68
443	534	67
444	535	66
445	536	64
446	537	63
447	537	62
448	538	61
449	539	59
450	540	58
451	541	57
452	542	56
453	543	55
454	544	53
455	545	52
456	546	51
457	547	50
458	547	48
459	548	47
460	549	46
461	550	45
462	551	44
463	552	42
464	553	41
465	553	40
466	554	39
467	555	37
468	556	36
469	557	35
470	558	34
471	559	33
472	560	31
473	561	30
474	561	29
475	562	28
476	563	27
477	564	25
478	565	24
479	565	23
480	566	22
481	567	21
482	568	20
483	569	18
484	570	17
485	571	16
486	572	15
487	573	14
488	573	12
489	574	11
490	575	10
491	576	9
492	576	8
493	577	7
494	578	5
495	579	4
496	579	3
497	580	2
498	581	1
499	582	0
